"County","Candidate","Party","Votes","Race"
"Adair","Mitch McCONNELL","Republican Party","6753","US Senate"
"Adair","Amy McGRATH","Democratic Party","1623","US Senate"
"Adair","Brad BARRON","Libertarian Party","348","US Senate"
"Adair","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Adair","Daniel COBBLE","WriteIn","0","US Senate"
"Adair","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Adair","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Adair","Demetra WYSINGER","WriteIn","0","US Senate"
"Allen","Mitch McCONNELL","Republican Party","6949","US Senate"
"Allen","Amy McGRATH","Democratic Party","1919","US Senate"
"Allen","Brad BARRON","Libertarian Party","433","US Senate"
"Allen","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Allen","Daniel COBBLE","WriteIn","0","US Senate"
"Allen","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Allen","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Allen","Demetra WYSINGER","WriteIn","0","US Senate"
"Anderson","Mitch McCONNELL","Republican Party","9021","US Senate"
"Anderson","Amy McGRATH","Democratic Party","3663","US Senate"
"Anderson","Brad BARRON","Libertarian Party","551","US Senate"
"Anderson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Anderson","Daniel COBBLE","WriteIn","0","US Senate"
"Anderson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Anderson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Anderson","Demetra WYSINGER","WriteIn","0","US Senate"
"Ballard","Mitch McCONNELL","Republican Party","3155","US Senate"
"Ballard","Amy McGRATH","Democratic Party","936","US Senate"
"Ballard","Brad BARRON","Libertarian Party","136","US Senate"
"Ballard","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Ballard","Daniel COBBLE","WriteIn","0","US Senate"
"Ballard","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Ballard","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Ballard","Demetra WYSINGER","WriteIn","0","US Senate"
"Barren","Mitch McCONNELL","Republican Party","13341","US Senate"
"Barren","Amy McGRATH","Democratic Party","5600","US Senate"
"Barren","Brad BARRON","Libertarian Party","1081","US Senate"
"Barren","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Barren","Daniel COBBLE","WriteIn","0","US Senate"
"Barren","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Barren","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Barren","Demetra WYSINGER","WriteIn","0","US Senate"
"Bath","Mitch McCONNELL","Republican Party","3537","US Senate"
"Bath","Amy McGRATH","Democratic Party","1827","US Senate"
"Bath","Brad BARRON","Libertarian Party","246","US Senate"
"Bath","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bath","Daniel COBBLE","WriteIn","0","US Senate"
"Bath","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bath","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bath","Demetra WYSINGER","WriteIn","0","US Senate"
"Bell","Mitch McCONNELL","Republican Party","7346","US Senate"
"Bell","Amy McGRATH","Democratic Party","2159","US Senate"
"Bell","Brad BARRON","Libertarian Party","442","US Senate"
"Bell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bell","Daniel COBBLE","WriteIn","0","US Senate"
"Bell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bell","Demetra WYSINGER","WriteIn","0","US Senate"
"Boone","Mitch McCONNELL","Republican Party","41729","US Senate"
"Boone","Amy McGRATH","Democratic Party","22450","US Senate"
"Boone","Brad BARRON","Libertarian Party","2778","US Senate"
"Boone","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Boone","Daniel COBBLE","WriteIn","0","US Senate"
"Boone","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Boone","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Boone","Demetra WYSINGER","WriteIn","0","US Senate"
"Bourbon","Mitch McCONNELL","Republican Party","5807","US Senate"
"Bourbon","Amy McGRATH","Democratic Party","3477","US Senate"
"Bourbon","Brad BARRON","Libertarian Party","364","US Senate"
"Bourbon","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bourbon","Daniel COBBLE","WriteIn","0","US Senate"
"Bourbon","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bourbon","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bourbon","Demetra WYSINGER","WriteIn","0","US Senate"
"Boyd","Mitch McCONNELL","Republican Party","12909","US Senate"
"Boyd","Amy McGRATH","Democratic Party","7915","US Senate"
"Boyd","Brad BARRON","Libertarian Party","931","US Senate"
"Boyd","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Boyd","Daniel COBBLE","WriteIn","0","US Senate"
"Boyd","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Boyd","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Boyd","Demetra WYSINGER","WriteIn","0","US Senate"
"Boyle","Mitch McCONNELL","Republican Party","8418","US Senate"
"Boyle","Amy McGRATH","Democratic Party","5445","US Senate"
"Boyle","Brad BARRON","Libertarian Party","603","US Senate"
"Boyle","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Boyle","Daniel COBBLE","WriteIn","0","US Senate"
"Boyle","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Boyle","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Boyle","Demetra WYSINGER","WriteIn","0","US Senate"
"Bracken","Mitch McCONNELL","Republican Party","3042","US Senate"
"Bracken","Amy McGRATH","Democratic Party","987","US Senate"
"Bracken","Brad BARRON","Libertarian Party","203","US Senate"
"Bracken","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bracken","Daniel COBBLE","WriteIn","0","US Senate"
"Bracken","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bracken","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bracken","Demetra WYSINGER","WriteIn","0","US Senate"
"Breathitt","Mitch McCONNELL","Republican Party","3738","US Senate"
"Breathitt","Amy McGRATH","Democratic Party","1652","US Senate"
"Breathitt","Brad BARRON","Libertarian Party","223","US Senate"
"Breathitt","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Breathitt","Daniel COBBLE","WriteIn","0","US Senate"
"Breathitt","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Breathitt","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Breathitt","Demetra WYSINGER","WriteIn","0","US Senate"
"Breckinridge","Mitch McCONNELL","Republican Party","6937","US Senate"
"Breckinridge","Amy McGRATH","Democratic Party","2764","US Senate"
"Breckinridge","Brad BARRON","Libertarian Party","497","US Senate"
"Breckinridge","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Breckinridge","Daniel COBBLE","WriteIn","0","US Senate"
"Breckinridge","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Breckinridge","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Breckinridge","Demetra WYSINGER","WriteIn","0","US Senate"
"Bullitt","Mitch McCONNELL","Republican Party","28040","US Senate"
"Bullitt","Amy McGRATH","Democratic Party","11896","US Senate"
"Bullitt","Brad BARRON","Libertarian Party","1946","US Senate"
"Bullitt","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Bullitt","Daniel COBBLE","WriteIn","0","US Senate"
"Bullitt","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Bullitt","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Bullitt","Demetra WYSINGER","WriteIn","0","US Senate"
"Butler","Mitch McCONNELL","Republican Party","4471","US Senate"
"Butler","Amy McGRATH","Democratic Party","1239","US Senate"
"Butler","Brad BARRON","Libertarian Party","413","US Senate"
"Butler","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Butler","Daniel COBBLE","WriteIn","0","US Senate"
"Butler","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Butler","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Butler","Demetra WYSINGER","WriteIn","0","US Senate"
"Caldwell","Mitch McCONNELL","Republican Party","4452","US Senate"
"Caldwell","Amy McGRATH","Democratic Party","1675","US Senate"
"Caldwell","Brad BARRON","Libertarian Party","298","US Senate"
"Caldwell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Caldwell","Daniel COBBLE","WriteIn","0","US Senate"
"Caldwell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Caldwell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Caldwell","Demetra WYSINGER","WriteIn","0","US Senate"
"Calloway","Mitch McCONNELL","Republican Party","10635","US Senate"
"Calloway","Amy McGRATH","Democratic Party","6180","US Senate"
"Calloway","Brad BARRON","Libertarian Party","664","US Senate"
"Calloway","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Calloway","Daniel COBBLE","WriteIn","0","US Senate"
"Calloway","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Calloway","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Calloway","Demetra WYSINGER","WriteIn","0","US Senate"
"Campbell","Mitch McCONNELL","Republican Party","26327","US Senate"
"Campbell","Amy McGRATH","Democratic Party","20600","US Senate"
"Campbell","Brad BARRON","Libertarian Party","1954","US Senate"
"Campbell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Campbell","Daniel COBBLE","WriteIn","1","US Senate"
"Campbell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Campbell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Campbell","Demetra WYSINGER","WriteIn","0","US Senate"
"Carlisle","Mitch McCONNELL","Republican Party","2009","US Senate"
"Carlisle","Amy McGRATH","Democratic Party","541","US Senate"
"Carlisle","Brad BARRON","Libertarian Party","92","US Senate"
"Carlisle","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Carlisle","Daniel COBBLE","WriteIn","0","US Senate"
"Carlisle","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Carlisle","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Carlisle","Demetra WYSINGER","WriteIn","0","US Senate"
"Carroll","Mitch McCONNELL","Republican Party","2560","US Senate"
"Carroll","Amy McGRATH","Democratic Party","1299","US Senate"
"Carroll","Brad BARRON","Libertarian Party","256","US Senate"
"Carroll","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Carroll","Daniel COBBLE","WriteIn","0","US Senate"
"Carroll","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Carroll","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Carroll","Demetra WYSINGER","WriteIn","0","US Senate"
"Carter","Mitch McCONNELL","Republican Party","7725","US Senate"
"Carter","Amy McGRATH","Democratic Party","3253","US Senate"
"Carter","Brad BARRON","Libertarian Party","570","US Senate"
"Carter","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Carter","Daniel COBBLE","WriteIn","0","US Senate"
"Carter","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Carter","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Carter","Demetra WYSINGER","WriteIn","0","US Senate"
"Casey","Mitch McCONNELL","Republican Party","5775","US Senate"
"Casey","Amy McGRATH","Democratic Party","1027","US Senate"
"Casey","Brad BARRON","Libertarian Party","350","US Senate"
"Casey","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Casey","Daniel COBBLE","WriteIn","0","US Senate"
"Casey","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Casey","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Casey","Demetra WYSINGER","WriteIn","0","US Senate"
"Christian","Mitch McCONNELL","Republican Party","13523","US Senate"
"Christian","Amy McGRATH","Democratic Party","9130","US Senate"
"Christian","Brad BARRON","Libertarian Party","1136","US Senate"
"Christian","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Christian","Daniel COBBLE","WriteIn","0","US Senate"
"Christian","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Christian","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Christian","Demetra WYSINGER","WriteIn","0","US Senate"
"Clark","Mitch McCONNELL","Republican Party","11120","US Senate"
"Clark","Amy McGRATH","Democratic Party","6312","US Senate"
"Clark","Brad BARRON","Libertarian Party","695","US Senate"
"Clark","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Clark","Daniel COBBLE","WriteIn","0","US Senate"
"Clark","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Clark","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Clark","Demetra WYSINGER","WriteIn","0","US Senate"
"Clay","Mitch McCONNELL","Republican Party","6242","US Senate"
"Clay","Amy McGRATH","Democratic Party","1016","US Senate"
"Clay","Brad BARRON","Libertarian Party","310","US Senate"
"Clay","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Clay","Daniel COBBLE","WriteIn","0","US Senate"
"Clay","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Clay","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Clay","Demetra WYSINGER","WriteIn","0","US Senate"
"Clinton","Mitch McCONNELL","Republican Party","3969","US Senate"
"Clinton","Amy McGRATH","Democratic Party","729","US Senate"
"Clinton","Brad BARRON","Libertarian Party","204","US Senate"
"Clinton","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Clinton","Daniel COBBLE","WriteIn","0","US Senate"
"Clinton","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Clinton","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Clinton","Demetra WYSINGER","WriteIn","0","US Senate"
"Crittenden","Mitch McCONNELL","Republican Party","3163","US Senate"
"Crittenden","Amy McGRATH","Democratic Party","869","US Senate"
"Crittenden","Brad BARRON","Libertarian Party","204","US Senate"
"Crittenden","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Crittenden","Daniel COBBLE","WriteIn","0","US Senate"
"Crittenden","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Crittenden","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Crittenden","Demetra WYSINGER","WriteIn","0","US Senate"
"Cumberland","Mitch McCONNELL","Republican Party","2446","US Senate"
"Cumberland","Amy McGRATH","Democratic Party","610","US Senate"
"Cumberland","Brad BARRON","Libertarian Party","221","US Senate"
"Cumberland","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Cumberland","Daniel COBBLE","WriteIn","0","US Senate"
"Cumberland","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Cumberland","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Cumberland","Demetra WYSINGER","WriteIn","0","US Senate"
"Daviess","Mitch McCONNELL","Republican Party","28087","US Senate"
"Daviess","Amy McGRATH","Democratic Party","18383","US Senate"
"Daviess","Brad BARRON","Libertarian Party","2819","US Senate"
"Daviess","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Daviess","Daniel COBBLE","WriteIn","0","US Senate"
"Daviess","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Daviess","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Daviess","Demetra WYSINGER","WriteIn","0","US Senate"
"Edmonson","Mitch McCONNELL","Republican Party","4408","US Senate"
"Edmonson","Amy McGRATH","Democratic Party","1383","US Senate"
"Edmonson","Brad BARRON","Libertarian Party","332","US Senate"
"Edmonson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Edmonson","Daniel COBBLE","WriteIn","0","US Senate"
"Edmonson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Edmonson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Edmonson","Demetra WYSINGER","WriteIn","0","US Senate"
"Elliott","Mitch McCONNELL","Republican Party","1958","US Senate"
"Elliott","Amy McGRATH","Democratic Party","868","US Senate"
"Elliott","Brad BARRON","Libertarian Party","140","US Senate"
"Elliott","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Elliott","Daniel COBBLE","WriteIn","0","US Senate"
"Elliott","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Elliott","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Elliott","Demetra WYSINGER","WriteIn","0","US Senate"
"Estill","Mitch McCONNELL","Republican Party","4783","US Senate"
"Estill","Amy McGRATH","Democratic Party","1515","US Senate"
"Estill","Brad BARRON","Libertarian Party","239","US Senate"
"Estill","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Estill","Daniel COBBLE","WriteIn","0","US Senate"
"Estill","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Estill","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Estill","Demetra WYSINGER","WriteIn","0","US Senate"
"Fayette","Mitch McCONNELL","Republican Party","58919","US Senate"
"Fayette","Amy McGRATH","Democratic Party","90137","US Senate"
"Fayette","Brad BARRON","Libertarian Party","4141","US Senate"
"Fayette","Paul John FRANGEDAKIS","WriteIn","17","US Senate"
"Fayette","Daniel COBBLE","WriteIn","0","US Senate"
"Fayette","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Fayette","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Fayette","Demetra WYSINGER","WriteIn","0","US Senate"
"Fleming","Mitch McCONNELL","Republican Party","5041","US Senate"
"Fleming","Amy McGRATH","Democratic Party","1743","US Senate"
"Fleming","Brad BARRON","Libertarian Party","255","US Senate"
"Fleming","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Fleming","Daniel COBBLE","WriteIn","0","US Senate"
"Fleming","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Fleming","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Fleming","Demetra WYSINGER","WriteIn","0","US Senate"
"Floyd","Mitch McCONNELL","Republican Party","10737","US Senate"
"Floyd","Amy McGRATH","Democratic Party","4924","US Senate"
"Floyd","Brad BARRON","Libertarian Party","623","US Senate"
"Floyd","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Floyd","Daniel COBBLE","WriteIn","0","US Senate"
"Floyd","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Floyd","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Floyd","Demetra WYSINGER","WriteIn","0","US Senate"
"Franklin","Mitch McCONNELL","Republican Party","11990","US Senate"
"Franklin","Amy McGRATH","Democratic Party","13091","US Senate"
"Franklin","Brad BARRON","Libertarian Party","1034","US Senate"
"Franklin","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Franklin","Daniel COBBLE","WriteIn","1","US Senate"
"Franklin","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Franklin","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Franklin","Demetra WYSINGER","WriteIn","0","US Senate"
"Fulton","Mitch McCONNELL","Republican Party","1489","US Senate"
"Fulton","Amy McGRATH","Democratic Party","810","US Senate"
"Fulton","Brad BARRON","Libertarian Party","110","US Senate"
"Fulton","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Fulton","Daniel COBBLE","WriteIn","0","US Senate"
"Fulton","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Fulton","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Fulton","Demetra WYSINGER","WriteIn","0","US Senate"
"Gallatin","Mitch McCONNELL","Republican Party","2653","US Senate"
"Gallatin","Amy McGRATH","Democratic Party","974","US Senate"
"Gallatin","Brad BARRON","Libertarian Party","217","US Senate"
"Gallatin","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Gallatin","Daniel COBBLE","WriteIn","0","US Senate"
"Gallatin","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Gallatin","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Gallatin","Demetra WYSINGER","WriteIn","0","US Senate"
"Garrard","Mitch McCONNELL","Republican Party","6371","US Senate"
"Garrard","Amy McGRATH","Democratic Party","1959","US Senate"
"Garrard","Brad BARRON","Libertarian Party","363","US Senate"
"Garrard","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Garrard","Daniel COBBLE","WriteIn","0","US Senate"
"Garrard","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Garrard","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Garrard","Demetra WYSINGER","WriteIn","0","US Senate"
"Grant","Mitch McCONNELL","Republican Party","7957","US Senate"
